Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-10.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-10.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-10.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,0.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,1.50,,,HIGH,8.60,14.20
